ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"128.241.228.166","elite","AS213802","US","NTT America","144","TianFeng (Hong Kong) Communications Ltd","28080","http","4198","99","365","368","2026-08-19T13:43:37.535Z","820"
"103.45.245.39","elite","AS36007","ES","Kamatera, Inc.","25","Cloudwebmanage EU MD","1080","socks5","2681","100","62","62","2026-08-19T14:20:56.936Z","820"
"114.130.153.122","transparent","AS45588","BD","Bangladesh Telegraph & Telephone Board","472","Bangladesh Telegraph & Telephone Board","58080","http","4442","76","275","361","2026-08-19T16:03:33.420Z","822"
"5.252.177.241","elite","N/A","US","MivoCloud SRL","137","N/A","9050","socks4","12207","100","96","96","2026-08-19T13:23:02.610Z","822"
"103.136.107.70","elite","AS134599","BD","Harunur Rashid","184","Jagobd IT Solutions","1080","socks5","9309","81","89","110","2026-08-19T13:19:46.707Z","823"
"138.68.3.159","transparent","AS14061","US","DigitalOcean, LLC","145","DigitalOcean, LLC","3128","http","589","100","30","30","2026-08-19T13:19:08.121Z","824"
"14.224.194.181","elite","AS45899","VN","VNPT","222","Vietnam Posts and Telecommunications Group","2080","socks5","858","100","25","25","2026-08-19T13:43:30.132Z","826"
"213.155.11.237","elite","AS50053","FI","Anton Levin","36","Vdska FL1","1080","socks5","491","81","305","375","2026-08-19T14:57:10.432Z","827"
"27.75.144.184","elite","AS7552","VN","Viettel Group","173","VIETTEL","1080","socks4","1694","40","28","70","2026-08-19T11:37:59.311Z","827"
"187.85.150.54","elite","AS53062","BR","Ggnet Telecom Backbone","241","Ggnet Telecomunicacoes Ltda","5432","socks4","8221","93","13","14","2026-08-19T10:11:17.719Z","827"
"121.101.130.181","anonymous","AS131706","ID","PT SELARAS CITRA TERABIT","183","N/A","8080","http","756","100","100","100","2026-08-19T13:04:37.835Z","831"
"38.183.146.97","transparent","N/A","US","PT Ikhlas Cipta Teknologi","178","N/A","8090","http","7703","99","306","310","2026-08-19T07:38:16.423Z","835"
